mvalorarriendo,mareac,mnrocuartos,mnrobanos,mnrogarajes,mzona_nombre
1800000,110.0,2.0,3.0,1.0,Noroccidente
1400000,82.0,3.0,2.0,1.0,Noroccidente
2200000,40.0,1.0,1.0,1.0,Noroccidente
1040000,107.0,3.0,2.0,1.0,Noroccidente
1400000,63.0,2.0,2.0,1.0,Noroccidente
1200000,40.0,1.0,1.0,0.0,Noroccidente
1300000,80.0,2.0,3.0,1.0,Noroccidente
1300000,86.0,3.0,2.0,1.0,Noroccidente
1330000,43.0,1.0,2.0,1.0,Noroccidente
1200000,30.0,1.0,1.0,1.0,Noroccidente
1500000,108.0,3.0,2.0,1.0,Noroccidente
1200000,50.0,1.0,1.0,1.0,Noroccidente
900000,74.0,3.0,2.0,0.0,Noroccidente
1460000,141.0,3.0,2.0,1.0,Noroccidente
